sample_index,magnitude_squared_0,magnitude_squared_1,magnitude_squared_2,magnitude_fourth_0,magnitude_fourth_1,magnitude_fourth_2,basis_i_0,basis_i_1,basis_i_2,basis_i_3,basis_i_4,basis_i_5,basis_i_6,basis_i_7,basis_i_8,basis_q_0,basis_q_1,basis_q_2,basis_q_3,basis_q_4,basis_q_5,basis_q_6,basis_q_7,basis_q_8,term_i_0,term_i_1,term_i_2,term_i_3,term_i_4,term_i_5,term_i_6,term_i_7,term_i_8,term_q_0,term_q_1,term_q_2,term_q_3,term_q_4,term_q_5,term_q_6,term_q_7,term_q_8,accumulator_i,accumulator_q
0,6672500,0,0,44522256250000,0,0,70976,441,3,0,0,0,0,0,0,42368,263,2,0,0,0,0,0,0,3970613248,-103186796,7335210,0,0,0,0,0,0,2151668864,-49749978,2365449,0,0,0,0,0,0,3874761662,2104284335
1,8524125,6672500,0,72660707015625,44522256250000,0,89760,713,6,70976,441,3,0,0,0,25920,206,2,42368,263,2,0,0,0,4958657280,-162508127,13505178,-353529792,-15436562,438991,0,0,0,1211165760,-31720129,617586,-40737856,-4187016,293848,0,0,0,4441126968,1135432193
2,13123997,8524125,6672500,172239297256009,72660707015625,44522256250000,115648,1414,17,89760,713,6,70976,441,3,-8032,-98,-1,25920,206,2,42368,263,2,6294760384,-312293884,34380531,-398160480,-23117231,878530,198430080,-7037729,441565,-700971776,49657888,-11961213,57049440,-193747,294670,15925440,-2214647,90697,5788281766,-592323248
3,21937777,13123997,8524125,481266059701729,172239297256009,72660707015625,141312,2887,59,115648,1414,17,89760,713,6,-49952,-1021,-21,-8032,-98,-1,25920,206,2,7600548416,-621432518,109107663,-439709792,-41593048,2490995,221486400,-10651549,789124,-3047558016,283814704,-77564415,236106912,14810236,-141855,-39607200,-515778,-50312,6821035691,-2630705724
4,32118965,21937777,13123997,1031627912671225,481266059701729,172239297256009,158432,4739,142,141312,2887,59,115648,1414,17,-88256,-2640,-79,-49952,-1021,-21,-8032,-98,-1,8448144896,-1001071395,246018093,-466284512,-78030044,8650021,241245600,-19444166,1922498,-5177359168,680112863,-245208006,446042528,54863302,-3060607,-140514240,6058962,-914904,7381150991,-4379979270
5,37382117,32118965,21937777,1397422671401689,1031627912671225,481266059701729,160288,5580,194,158432,4739,142,141312,2887,59,-112192,-3906,-136,-88256,-2640,-79,-49952,-1021,-21,8495125504,-1163000898,319754808,-465720736,-119992983,20826492,252035040,-36977511,5848264,-6488190656,978031710,-392733690,626671008,118975985,-11535619,-258393600,23847893,-5206090,7307897980,-5408533059
6,33184840,37382117,32118965,1101233605825600,1397422671401689,1031627912671225,144064,4452,138,160288,5580,194,158432,4739,142,-115008,-3554,-110,-112192,-3906,-136,-88256,-2640,-79,7603097472,-919271482,219730218,-430662752,-134592390,28460786,248220480,-57501719,12737889,-6605081984,877567734,-306633858,723903072,164012382,-19872612,-359363040,52624364,-15826813,6570218502,-5488670755
7,21146128,33184840,37382117,447158729392384,1101233605825600,1397422671401689,111744,2201,43,144064,4452,138,160288,5580,194,-95744,-1886,-37,-115008,-3554,-110,-112192,-3906,-136,5882542592,-451930963,66879231,-362002048,-103710814,20248934,226737600,-65061684,16083074,-5480132352,462513467,-101148975,706255616,143983878,-16078618,-413041440,73113066,-24874590,5229785922,-4649409948
8,8236229,21146128,33184840,67835468140441,447158729392384,1101233605825600,69664,534,4,111744,2201,43,144064,4452,138,-59840,-459,-4,-95744,-1886,-37,-115008,-3554,-110,3666981632,-109618047,5896140,-269224064,-50190427,6310197,188694720,-50458348,10817384,-3424683200,112530153,-10557108,573470336,75051737,-5409199,-401845440,64451306,-19230244,3399209187,-3036221659
9,999698,8236229,21146128,999396091204,67835468140441,447158729392384,26656,25,0,69664,534,4,111744,2201,43,-17696,-16,0,-59840,-459,-4,-95744,-1886,-37,1414927808,-5240153,0,-167574240,-12165093,587148,139399680,-24518205,3242568,-1026498368,4048525,0,358107616,18251553,-584956,-325814400,33666682,-6307690,1348659513,-945131038
10,392125,999698,8236229,153762015625,999396091204,67835468140441,-8640,-3,0,26656,25,0,69664,534,4,18080,7,0,-17696,-16,0,-59840,-459,-4,-430598720,528656,0,-73320576,-615605,0,86744640,-5943810,275400,1006563840,-1614726,0,116611264,689827,0,-203446560,8188023,-651424,-422930015,926340244
11,2156401,392125,999698,4650065272801,153762015625,999396091204,-30240,-61,0,-8640,-3,0,26656,25,0,35968,72,0,18080,7,0,-17696,-16,0,-1569093760,12136101,0,1928480,31226,0,38730720,-296469,0,2032065984,-17202937,0,-86248160,-235164,0,-66612000,306596,0,-1516563702,1862074319
12,2126434,2156401,392125,4521721556356,4650065272801,153762015625,-36640,-73,0,-30240,-61,0,-8640,-3,0,28896,57,0,35968,72,0,18080,7,0,-1934510400,15098556,0,55064608,1225377,0,592800,18731,0,1660547648,-14106166,0,-194668960,-2671879,0,48254400,-107815,0,-1862510328,1497247228
13,962837,2126434,2156401,927055088569,4521721556356,4650065272801,-31168,-28,0,-36640,-73,0,-30240,-61,0,-3808,-3,0,28896,57,0,35968,72,0,-1710042944,6281451,0,92694976,1711266,0,-27012480,614089,0,-137119744,114599,0,-178232960,-2322664,0,109896480,-1208908,0,-1635753642,-208873197
14,3510850,962837,2126434,12326067722500,927055088569,4521721556356,-20832,-68,0,-31168,-28,0,-36640,-73,0,-56224,-184,-1,-3808,-3,0,28896,57,0,-1264805696,18739228,-582621,129070752,865101,0,-48368160,831601,0,-3021867072,39548644,-2056656,-40189792,-145069,0,101436960,-1038985,0,-1164249795,-2924311970
15,13666036,3510850,962837,186760539953296,12326067722500,927055088569,-14208,-181,-2,-20832,-68,0,-31168,-28,0,-117440,-1495,-19,-56224,-184,-1,-3808,-3,0,-1042175104,69699640,-15183111,181225856,3584476,274,-71378400,401416,0,-6378562560,328657598,-37911222,183827392,4948588,-146513,24968640,-50905,0,-873824953,-5874268982
16,30038900,13666036,3510850,902335513210000,186760539953296,12326067722500,-18560,-519,-15,-14208,-181,-2,-20832,-68,0,-174400,-4879,-136,-117440,-1495,-19,-56224,-184,-1,-1409041280,211534018,-110086296,263517760,17979982,-287820,-104875680,1560852,-47003,-9478016000,1074002652,-270965901,435818048,43326020,-2784295,-99257760,2347016,-115853,-1129745467,-8295646073
17,46793044,30038900,13666036,2189588966785936,902335513210000,186760539953296,-37760,-1646,-72,-18560,-519,-15,-14208,-181,-2,-215616,-9396,-409,-174400,-4879,-136,-117440,-1495,-19,-2550691200,551043282,-386371221,381361600,56527648,-2160431,-155762880,7487981,-1124763,-11684331008,2055571918,-799223592,651687360,141998358,-19929878,-238538880,20301399,-2107201,-2099689984,-9874571524
18,58332137,46793044,30038900,3402638206986769,2189588966785936,902335513210000,-70912,-3852,-209,-37760,-1646,-72,-18560,-519,-15,-233888,-12706,-690,-215616,-9396,-409,-174400,-4879,-136,-4401870016,1106534902,-831849594,529632704,128254482,-10436870,-225825600,23434903,-8130203,-12606507904,2747640966,-1297324851,779495360,268033642,-59943545,-356937600,66492295,-15050963,-3690255292,-10474102600
19,63198965,58332137,46793044,3994109177071225,3402638206986769,2189588966785936,-112576,-6626,-390,-70912,-3852,-209,-37760,-1646,-72,-228128,-13427,-790,-233888,-12706,-690,-215616,-9396,-409,-6663149248,1737203009,-1262366430,692077472,222215314,-30432157,-311192640,54169862,-27565643,-12197503744,2853170233,-1397536050,792567072,348804342,-101151236,-425516160,125907340,-43999661,-5589040461,-10045257864
20,63431042,63198965,58332137,4023497089205764,3994109177071225,3402638206986769,-154208,-9110,-538,-112576,-6626,-390,-70912,-3852,-209,-202912,-11987,-708,-228128,-13427,-790,-233888,-12706,-690,-8878516544,2260817429,-1518976596,845419232,311479787,-56923610,-402260640,95987908,-56645347,-10726508096,2484189205,-1142662350,696255456,347144449,-115852130,-429676800,164869354,-70114943,-7399618381,-8792355855
21,61087610,63431042,63198965,3731696095512100,4023497089205764,3994109177071225,-186464,-10608,-604,-154208,-9110,-538,-112576,-6626,-390,-166688,-9483,-540,-202912,-11987,-708,-228128,-13427,-790,-10557078592,2544339111,-1556835564,964217728,373903535,-78630002,-486120480,137162038,-82315040,-8675891264,1898201739,-758691156,523635648,283095589,-103878616,-372863040,165751071,-73192700,-8741357266,-7113832729
22,55863001,61087610,63431042,3120674880726001,3731696095512100,4023497089205764,-201632,-10490,-546,-186464,-10608,-604,-154208,-9110,-538,-128640,-6693,-348,-166688,-9483,-540,-202912,-11987,-708,-11298700416,2463106131,-1325686284,1026742272,397817961,-88345892,-549190560,167115802,-95607038,-6564495680,1280520595,-397605222,324395584,195407391,-79282516,-274058400,137381487,-56736310,-9302748024,-5434473071
23,46314850,55863001,61087610,2145065330522500,3120674880726001,3731696095512100,-195616,-8438,-364,-201632,-10490,-546,-186464,-10608,-604,-95712,-4128,-178,-128640,-6693,-348,-166688,-9483,-540,-10895552448,1956526326,-852329322,1018969760,370856265,-79900746,-580284960,179756076,-95356832,-4780678336,750972754,-154010724,148224992,112706371,-51136128,-161461920,97405695,-34170808,-8977315881,-4072148104
24,32591824,46314850,55863001,1062226991646976,2145065330522500,3120674880726001,-168576,-5117,-155,-195616,-8438,-364,-201632,-10490,-546,-70400,-2137,-65,-95712,-4128,-178,-128640,-6693,-348,-9362034688,1179260554,-356652045,937107328,287769246,-53281960,-572526720,168854678,-79612782,-3460327680,374002936,-43376385,29624896,52990606,-26179050,-63124320,58789993,-14653206,-7851116389,-3092252210
25,17640577,32591824,46314850,311189956892929,1062226991646976,2145065330522500,-124672,-2048,-34,-168576,-5117,-155,-195616,-8438,-364,-50208,-825,-14,-70400,-2137,-65,-95712,-4128,-178,-6919567296,471383325,-78082998,786198400,171434764,-22691705,-524463840,131660126,-50537026,-2457748864,142955209,-8984070,-21890944,21146374,-9565815,1593120,29733160,-3512742,-6034666250,-2306274572
26,5708564,17640577,32591824,32587702942096,311189956892929,1062226991646976,-70720,-376,-2,-124672,-2048,-34,-168576,-5117,-155,-29056,-154,-1,-50208,-825,-14,-70400,-2137,-65,-3926420480,86593018,-4695933,578155552,68359731,-4977606,-439100160,78627069,-21012410,-1425574528,26809058,-891414,-23478368,7554565,-2060498,27469440,12909425,-244980,-3584471219,-1377507300
27,192730,5708564,17640577,37144852900,32587702942096,311189956892929,-14048,-3,0,-70720,-376,-2,-124672,-2048,-34,96,0,0,-29056,-154,-1,-50208,-825,-14,-766634304,666675,0,328976064,12571702,-292752,-322763040,31368788,-4597044,37129408,-59151,0,-11058880,1463018,-147061,24326400,4743157,-23840,-720703911,56373051
28,3212185,192730,5708564,10318132474225,37144852900,32587702942096,39072,117,0,-14048,-3,0,-70720,-376,-2,41984,126,0,96,0,0,-29056,-154,-1,2228166016,-28484667,0,54968576,89991,0,-183699840,5767520,-278709,2203129152,-25693461,0,-25227712,-25185,0,12555840,906258,-21847,2076528887,2165623045
29,16130090,3212185,192730,260179803408100,10318132474225,37144852900,84832,1274,19,39072,117,0,-14048,-3,0,96544,1450,22,41984,126,0,96,0,0,4849964096,-311704300,51894126,-227627296,-4567419,0,-30241440,41943,0,5077575232,-297106792,34176633,-95668832,-2797407,0,15168480,-9948,0,4327759710,4731337366
30,38832749,16130090,3212185,1507982394897001,260179803408100,10318132474225,122176,4419,160,84832,1274,19,39072,117,0,157600,5700,206,96544,1450,22,41984,126,0,7027095488,-1094399175,449084886,-503751936,-50388928,2777719,129108480,-2053593,0,8325729280,-1179553077,330451776,-228867392,-32800420,3228492,49073760,-1373634,0,5957472941,7265888785
31,67432744,38832749,16130090,4547174963369536,1507982394897001,260179803408100,152384,9570,601,122176,4419,160,84832,1274,19,214080,13445,844,157600,5700,206,96544,1450,22,8804299392,-2391788315,1727782380,-758335200,-180408243,23385636,286056480,-22619994,3235273,11340287360,-2799123435,1385662443,-402450656,-133885395,30225518,118188960,-16047866,1655709,7491607409,9524512638
32,93154581,67432744,38832749,8677775961285561,4547174963369536,1507982394897001,177888,15433,1339,152384,9570,601,122176,4419,160,252480,21904,1900,214080,13445,844,157600,5700,206,10283679744,-3861479593,3860842284,-976814720,-399942065,87823057,431744160,-80683239,28219098,13378572480,-4563323939,3127516881,-570696704,-322969515,123821646,210298560,-65038296,16345238,9373388726,11334526351
33,106012738,93154581,67432744,11238700618256644,8677775961285561,4547174963369536,201056,19851,1960,177888,15433,1339,152384,9570,601,261024,25771,2544,252480,21904,1900,214080,13445,844,11567769408,-4919515282,5513233584,-1144847520,-646827781,195660307,557144640,-178381790,109298185,13792380992,-5335558308,4090195704,-676300128,-527494253,278741586,300123840,-156240425,69531129,11053533751,11835380137
34,101738305,106012738,93154581,10350682704273025,11238700618256644,8677775961285561,223104,21139,2003,201056,19851,1960,177888,15433,1339,233248,22101,2094,261024,25771,2544,252480,21904,1900,12708274112,-5133379692,5339490342,-1250896256,-811817992,286468424,653129280,-288402437,244432867,12226095744,-4494597062,3139647801,-668851136,-606403542,373266112,355906080,-255063996,157183683,11747298648,10227183684
35,86465681,101738305,106012738,7476313990793761,10350682704273025,11238700618256644,243712,19626,1580,223104,21139,2003,201056,19851,1960,170720,13748,1107,233248,22101,2094,261024,25771,2544,13691285056,-4632457166,3894477927,-1288298912,-819644478,292891783,712271520,-362993467,346647512,8766037120,-2668183458,1356177012,-520827424,-485501792,307347044,349687200,-294478435,202604152,11834179775,7012861419
36,73213736,86465681,101738305,5360251139077696,7476313990793761,10350682704273025,260800,17783,1213,243712,19626,1580,223104,21139,2003,83392,5686,388,170720,13748,1107,233248,22101,2094,14425850240,-4063938037,2720780676,-1258573280,-704135582,231187222,730313760,-368831275,330477841,3960186496,-912943939,91263255,-238949472,-247638486,162622811,266209920,-238897157,148449173,12043131565,2990302601
37,72107213,73213736,86465681,5199450166627369,5360251139077696,7476313990793761,271456,18230,1224,260800,17783,1213,243712,19626,1580,-12224,-821,-55,83392,5686,388,170720,13748,1107,14790491648,-4034974093,2485302789,-1171160448,-581170621,177613957,708234720,-319979474,235080061,-1283488832,541887635,-826244184,134041600,-21274657,57179406,109201920,-127130972,53984531,12289438539,-1361843553
38,81628985,72107213,73213736,6663291192130225,5199450166627369,5360251139077696,272384,20707,1574,271456,18230,1224,260800,17783,1213,-96928,-7369,-560,-12224,-821,-55,83392,5686,388,14648871232,-4456318502,2910908784,-1043840544,-539953015,179346982,652140480,-267478899,158766853,-5909417344,2045855944,-2068772814,528184864,177668387,-7722839,-97625280,-20527538,-12063675,12242443371,-5364420295
39,89544025,81628985,72107213,8018132413200625,6663291192130225,5199450166627369,260960,21763,1815,272384,20707,1574,271456,18230,1224,-153600,-12809,-1068,-96928,-7369,-560,-12224,-821,-55,13896612480,-4583727622,3110591412,-897641568,-559285124,230764902,573326400,-252151194,139218907,-8977096000,3275581096,-3253965723,862289696,394883158,-81616004,-315504480,71929081,-63903587,11657708593,-8087402763
40,82846970,89544025,81628985,6863620438180900,8018132413200625,6663291192130225,235616,18179,1403,260960,21763,1815,272384,20707,1574,-171232,-13212,-1019,-153600,-12809,-1068,-96928,-7369,-560,12473109568,-3779327271,2291797569,-752549600,-545293156,266213727,485121120,-265068963,156030942,-9882060736,3294472043,-2913149727,1064518240,566931958,-155978574,-499453440,171690401,-138860402,10330033936,-8491890237
41,58973553,82846970,89544025,3477879953443809,6863620438180900,8018132413200625,196224,10777,592,235616,18179,1403,260960,21763,1815,-147936,-8125,-446,-171232,-13212,-1019,-153600,-12809,-1068,10375660992,-2234718200,957691386,-621883392,-434400723,205836945,400089600,-261793859,160073991,-8520958848,2018068234,-1262180208,1088890304,548933069,-148912325,-609698400,251248737,-209041449,8546556740,-6843650886
42,28340260,58973553,82846970,803170336867600,3477879953443809,6863620438180900,144128,3804,100,196224,10777,592,235616,18179,1403,-90816,-2397,-63,-147936,-8125,-446,-171232,-13212,-1019,7661506944,-798082251,168960477,-508480416,-255068294,86857900,326568480,-210349607,114645702,-5284634368,607676793,-187831428,927769056,334198540,-65182590,-620792160,244998536,-183999416,6586558935,-4227797037
43,6756565,28340260,58973553,45651170599225,803170336867600,3477879953443809,81984,516,3,144128,3804,100,196224,10777,592,-14048,-88,-1,-90816,-2397,-63,-147936,-8125,-446,4443453632,-112933004,5587347,-405048896,-93985773,14668562,266292000,-123730737,47621638,-952955904,29729772,-3804519,611415232,103837389,-9202919,-528520320,149332157,-79496214,4041924769,-679665326
44,4337297,6756565,28340260,18812145266209,45651170599225,803170336867600,13568,55,0,81984,516,3,144128,3804,100,65248,264,1,-14048,-88,-1,-90816,-2397,-63,888762944,-17427663,582621,-296936288,-14739692,439813,214597440,-45235272,8624111,3530958464,-57582965,2056656,200168096,6971556,-145691,-349658880,46126521,-11999039,738668014,3366894718
45,19974445,4337297,6756565,398978453058025,18812145266209,45651170599225,-56256,-1047,-19,13568,55,0,81984,516,3,131488,2446,46,65248,264,1,-14048,-88,-1,-2772424768,184441793,-12275898,-168678112,-3866115,-274,162124320,-6922388,300556,7305368064,-564206049,105675975,-232096608,-7457483,146513,-117656640,2941384,-256862,-2617300886,6492458294
46,44325445,19974445,4337297,1964745074448025,398978453058025,18812145266209,-122048,-5038,-208,-56256,-1047,-19,13568,55,0,174624,7209,298,131488,2446,46,65248,264,1,-6265959744,977429697,-254163390,-11797472,10872689,-2796351,98796000,-1644379,47003,9809423872,-1701354271,734068656,-615607264,-82162227,6734392,126485760,-3508604,115853,-5449215947,8274196167
